,rank,name,vote
0,1,剑网3制作人郭炜炜,6957283
1,2,UziQAQ,2624890
2,3,薇娅viyaaa,2516302
3,4,李佳琦Austin,2485181
4,5,李子柒,2079596
5,6,一条小团团OvO,1884904
6,7,花少北,1527581
7,8,韦神_GODV,1522839
8,9,iG_TheShy,1478837
9,10,烈儿宝贝,1461310
10,11,old先,1428684
11,12,雪梨Cherie,1256320
