,rank,name,vote
0,1,剑网3制作人郭炜炜,4505044
1,2,UziQAQ,1804564
2,3,薇娅viyaaa,1216075
3,4,李佳琦Austin,1195735
4,5,一条小团团OvO,1053890
5,6,李子柒,812838
6,7,雪梨Cherie,806355
7,8,韦神_GODV,798931
8,9,iG_TheShy,796609
9,10,花少北,747041
10,11,烈儿宝贝,700721
11,12,JackeyLoveasdzz,695462
