,rank,name,vote
0,1,剑网3制作人郭炜炜,10520965
1,2,薇娅viyaaa,5729335
2,3,李佳琦Austin,5433530
3,4,李子柒,4787335
4,5,UziQAQ,4295722
5,6,花少北,4253158
6,7,一条小团团OvO,4074042
7,8,old先,3958311
8,9,iG_TheShy,3761614
9,10,韦神_GODV,3751363
10,11,国民老岳父公,3626139
11,12,雪梨Cherie,2969617
