,rank,name,vote
0,1,剑网3制作人郭炜炜,5670865
1,2,UziQAQ,2261329
2,3,薇娅viyaaa,1714592
3,4,李佳琦Austin,1654166
4,5,一条小团团OvO,1440194
5,6,烈儿宝贝,1359159
6,7,李子柒,1222134
7,8,韦神_GODV,1118601
8,9,iG_TheShy,1094064
9,10,花少北,1073447
10,11,雪梨Cherie,1061309
11,12,old先,987147
