,rank,name,vote
0,1,剑网3制作人郭炜炜,9637409
1,2,李佳琦Austin,4518362
2,3,薇娅viyaaa,4511212
3,4,李子柒,3999917
4,5,一条小团团OvO,3461354
5,6,花少北,3454560
6,7,UziQAQ,3351146
7,8,old先,3348054
8,9,韦神_GODV,3180908
9,10,iG_TheShy,3161283
10,11,国民老岳父公,3005116
11,12,雪梨Cherie,2438259
