,rank,name,vote
0,1,剑网3制作人郭炜炜,10534913
1,2,薇娅viyaaa,5737205
2,3,李佳琦Austin,5448811
3,4,李子柒,4793198
4,5,UziQAQ,4311660
5,6,花少北,4266542
6,7,一条小团团OvO,4080703
7,8,old先,3962993
8,9,iG_TheShy,3763595
9,10,韦神_GODV,3753170
10,11,国民老岳父公,3631013
11,12,雪梨Cherie,2969851
