,rank,name,vote
0,1,剑网3制作人郭炜炜,9647832
1,2,李佳琦Austin,4527903
2,3,薇娅viyaaa,4517638
3,4,李子柒,4006109
4,5,一条小团团OvO,3478492
5,6,花少北,3475063
6,7,UziQAQ,3366114
7,8,old先,3363074
8,9,韦神_GODV,3194285
9,10,iG_TheShy,3174998
10,11,国民老岳父公,3019219
11,12,雪梨Cherie,2462020
