,rank,name,vote
0,1,剑网3制作人郭炜炜,6678027
1,2,UziQAQ,2562652
2,3,李佳琦Austin,2389518
3,4,薇娅viyaaa,2376199
4,5,李子柒,1952395
5,6,一条小团团OvO,1825642
6,7,韦神_GODV,1422693
7,8,花少北,1422041
8,9,烈儿宝贝,1418515
9,10,iG_TheShy,1385480
10,11,old先,1323009
11,12,国民老岳父公,1130119
