,rank,name,vote
0,1,剑网3制作人郭炜炜,8744820
1,2,薇娅viyaaa,3689411
2,3,李佳琦Austin,3678483
3,4,李子柒,3241656
4,5,UziQAQ,3047482
5,6,一条小团团OvO,2857201
6,7,花少北,2831124
7,8,old先,2690043
8,9,韦神_GODV,2641154
9,10,iG_TheShy,2609623
10,11,国民老岳父公,2392530
11,12,雪梨Cherie,1934763
