,rank,name,vote
0,1,剑网3制作人郭炜炜,3616670
1,2,UziQAQ,1446105
2,3,薇娅viyaaa,999749
3,4,李佳琦Austin,996201
4,5,一条小团团OvO,728271
5,6,李子柒,658572
6,7,old先,564134
7,8,iG_TheShy,492899
8,9,韦神_GODV,485132
9,10,烈儿宝贝,431303
10,11,花少北,431151
11,12,雪梨Cherie,430492
