,rank,name,vote
0,1,剑网3制作人郭炜炜,9436227
1,2,薇娅viyaaa,4369529
2,3,李佳琦Austin,4340007
3,4,李子柒,3865477
4,5,一条小团团OvO,3342309
5,6,花少北,3315660
6,7,UziQAQ,3270740
7,8,old先,3249613
8,9,韦神_GODV,3111721
9,10,iG_TheShy,3091887
10,11,国民老岳父公,2916266
11,12,雪梨Cherie,2353513
