,rank,name,vote
0,1,剑网3制作人郭炜炜,1892584
1,2,UziQAQ,850820
2,3,一条小团团OvO,383236
3,4,iG_TheShy,246088
4,5,韦神_GODV,215821
5,6,JackeyLoveasdzz,181728
6,7,花少北,176167
7,8,指法芬芳张大仙z,80242
8,9,NV-Paraboy,63318
9,10,厌世小孤影,60050
10,11,某幻今天拖更了没,52129
11,12,WB_TS暖阳,50380
