,rank,name,vote
0,1,剑网3制作人郭炜炜,1906167
1,2,UziQAQ,855677
2,3,一条小团团OvO,385361
3,4,iG_TheShy,246921
4,5,韦神_GODV,217406
5,6,JackeyLoveasdzz,182138
6,7,花少北,177093
7,8,指法芬芳张大仙z,80683
8,9,NV-Paraboy,63625
9,10,厌世小孤影,60359
10,11,某幻今天拖更了没,52462
11,12,WB_TS暖阳,50511
