,rank,name,vote
0,1,剑网3制作人郭炜炜,5641787
1,2,UziQAQ,2254640
2,3,一条小团团OvO,1434380
3,4,韦神_GODV,1113770
4,5,iG_TheShy,1091934
5,6,花少北,1069854
6,7,JackeyLoveasdzz,969843
7,8,NV-Paraboy,747146
8,9,厌世小孤影,233139
9,10,指法芬芳张大仙z,231392
10,11,WB_TS暖阳,199892
11,12,某幻今天拖更了没,178753
