,rank,name,vote
0,1,剑网3制作人郭炜炜,5569569
1,2,UziQAQ,2236010
2,3,一条小团团OvO,1413880
3,4,韦神_GODV,1103614
4,5,iG_TheShy,1082666
5,6,花少北,1053184
6,7,JackeyLoveasdzz,961264
7,8,NV-Paraboy,739661
8,9,厌世小孤影,223728
9,10,指法芬芳张大仙z,223630
10,11,WB_TS暖阳,192284
11,12,某幻今天拖更了没,170549
