,rank,name,vote
0,1,剑网3制作人郭炜炜,10312334
1,2,花少北,4037492
2,3,UziQAQ,3994667
3,4,一条小团团OvO,3924580
4,5,iG_TheShy,3635602
5,6,韦神_GODV,3634807
6,7,JackeyLoveasdzz,2280344
7,8,NV-Paraboy,2069744
8,9,厌世小孤影,829661
9,10,指法芬芳张大仙z,727360
10,11,WB_TS暖阳,644422
11,12,某幻今天拖更了没,641139
