,rank,name,vote
0,1,剑网3制作人郭炜炜,1098755
1,2,UziQAQ,610476
2,3,一条小团团OvO,272076
3,4,iG_TheShy,191257
4,5,韦神_GODV,157344
5,6,JackeyLoveasdzz,138730
6,7,花少北,85114
7,8,指法芬芳张大仙z,56536
8,9,NV-Paraboy,39772
9,10,厌世小孤影,39085
10,11,dsm大司马解说,35375
11,12,WB_TS暖阳,32777
