,rank,name,vote
0,1,剑网3制作人郭炜炜,1857759
1,2,UziQAQ,841722
2,3,一条小团团OvO,377999
3,4,iG_TheShy,244318
4,5,韦神_GODV,213225
5,6,JackeyLoveasdzz,180656
6,7,花少北,171965
7,8,指法芬芳张大仙z,79556
8,9,NV-Paraboy,61873
9,10,厌世小孤影,58994
10,11,某幻今天拖更了没,50069
11,12,WB_TS暖阳,49818
