,rank,name,vote
0,1,剑网3制作人郭炜炜,8040802
1,2,UziQAQ,2928568
2,3,一条小团团OvO,2403524
3,4,花少北,2270475
4,5,韦神_GODV,2172875
5,6,iG_TheShy,2128253
6,7,JackeyLoveasdzz,1459397
7,8,NV-Paraboy,1305121
8,9,厌世小孤影,465949
9,10,指法芬芳张大仙z,440096
10,11,WB_TS暖阳,403437
11,12,某幻今天拖更了没,381495
