,rank,name,vote
0,1,剑网3制作人郭炜炜,1379650
1,2,UziQAQ,684729
2,3,一条小团团OvO,306414
3,4,iG_TheShy,208296
4,5,韦神_GODV,177628
5,6,JackeyLoveasdzz,151286
6,7,花少北,95823
7,8,指法芬芳张大仙z,63233
8,9,NV-Paraboy,46485
9,10,厌世小孤影,46059
10,11,dsm大司马解说,38329
11,12,WB_TS暖阳,37113
