,rank,name,vote
0,1,剑网3制作人郭炜炜,8880616
1,2,UziQAQ,3077583
2,3,一条小团团OvO,2906524
3,4,花少北,2882707
4,5,韦神_GODV,2670257
5,6,iG_TheShy,2642738
6,7,JackeyLoveasdzz,1737911
7,8,NV-Paraboy,1533020
8,9,厌世小孤影,569776
9,10,指法芬芳张大仙z,538880
10,11,WB_TS暖阳,487329
11,12,某幻今天拖更了没,471821
