,rank,name,vote
0,1,剑网3制作人郭炜炜,9671963
1,2,花少北,3513643
2,3,一条小团团OvO,3504875
3,4,UziQAQ,3396904
4,5,韦神_GODV,3220834
5,6,iG_TheShy,3201161
6,7,JackeyLoveasdzz,2059594
7,8,NV-Paraboy,1853634
8,9,厌世小孤影,717202
9,10,指法芬芳张大仙z,650681
10,11,WB_TS暖阳,582452
11,12,某幻今天拖更了没,573412
