,rank,name,vote
0,1,剑网3制作人郭炜炜,1894890
1,2,UziQAQ,851680
2,3,一条小团团OvO,383632
3,4,iG_TheShy,246299
4,5,韦神_GODV,216142
5,6,JackeyLoveasdzz,181784
6,7,花少北,176339
7,8,指法芬芳张大仙z,80324
8,9,NV-Paraboy,63349
9,10,厌世小孤影,60075
10,11,某幻今天拖更了没,52185
11,12,WB_TS暖阳,50416
