,rank,name,vote
0,1,剑网3制作人郭炜炜,843889
1,2,UziQAQ,482514
2,3,一条小团团OvO,227114
3,4,iG_TheShy,169259
4,5,韦神_GODV,135035
5,6,JackeyLoveasdzz,120507
6,7,花少北,68860
7,8,指法芬芳张大仙z,48084
8,9,NV-Paraboy,31969
9,10,厌世小孤影,30806
10,11,dsm大司马解说,28021
11,12,WB_TS暖阳,27555
