,rank,name,vote
0,1,肖战,30591260
1,2,时代少年团,27677040
2,3,王一博,26484049
3,4,李现,24256002
4,5,王俊凯,19009249
5,6,易烊千玺,17518598
6,7,华晨宇,14619323
