,rank,name,vote
0,1,肖战,20790581
1,2,时代少年团,17692544
2,3,王一博,15947348
3,4,李现,14694430
4,5,王俊凯,8928022
5,6,易烊千玺,8909851
6,7,华晨宇,6564020
