,rank,name,vote
0,1,肖战,15983316
1,2,时代少年团,11629462
2,3,王一博,9329618
3,4,李现,7397668
4,5,易烊千玺,5492292
5,6,王俊凯,4794493
6,7,华晨宇,3442365
