,rank,name,vote
0,1,肖战,14297133
1,2,时代少年团,9698954
2,3,王一博,8444262
3,4,李现,5806111
4,5,易烊千玺,4721023
5,6,王俊凯,4035959
6,7,张艺兴,2864655
