,rank,name,vote
0,1,肖战,14130126
1,2,时代少年团,9536954
2,3,王一博,8362667
3,4,李现,5708947
4,5,易烊千玺,4656580
5,6,王俊凯,3992321
6,7,张艺兴,2841225
