,rank,name,vote
0,1,肖战,14028759
1,2,时代少年团,9444560
2,3,王一博,8317103
3,4,李现,5657093
4,5,易烊千玺,4628112
5,6,王俊凯,3967209
6,7,张艺兴,2829584
