,rank,name,vote
0,1,肖战,14780759
1,2,时代少年团,10244932
2,3,王一博,8688003
3,4,李现,6289614
4,5,易烊千玺,4968540
5,6,王俊凯,4233426
6,7,张艺兴,2970599
