,rank,name,vote
0,1,肖战,23009001
1,2,时代少年团,20370299
2,3,王一博,18285717
3,4,李现,17395150
4,5,王俊凯,10960872
5,6,易烊千玺,10227949
6,7,华晨宇,7769776
