,rank,name,vote
0,1,肖战,12829097
1,2,时代少年团,6962572
2,3,王一博,6214933
3,4,李现,4214341
4,5,易烊千玺,4032316
5,6,王俊凯,2767427
6,7,蔡徐坤,2260060
