,rank,name,vote
0,1,肖战,31888504
1,2,时代少年团,29122554
2,3,王一博,27614557
3,4,李现,25527389
4,5,王俊凯,19948572
5,6,易烊千玺,18407166
6,7,华晨宇,15715103
