,rank,name,vote
0,1,肖战,8369917
1,2,王一博,2624838
2,3,时代少年团,2573237
3,4,易烊千玺,1612490
4,5,李现,1512347
5,6,蔡徐坤,991465
6,7,王俊凯,961403
