,rank,name,vote
0,1,肖战,15741805
1,2,时代少年团,11357400
2,3,王一博,9206760
3,4,李现,7250298
4,5,易烊千玺,5412601
5,6,王俊凯,4731785
6,7,华晨宇,3384074
