,rank,name,vote
0,1,肖战,26392947
1,2,时代少年团,24164512
2,3,王一博,21900570
3,4,李现,20579718
4,5,王俊凯,14872682
5,6,易烊千玺,13508107
6,7,蔡徐坤,10522646
