,rank,name,vote
0,1,肖战,33234511
1,2,时代少年团,30825001
2,3,王一博,29128682
3,4,李现,27118302
4,5,王俊凯,21712152
5,6,易烊千玺,19693870
6,7,华晨宇,17371244
