,rank,name,vote
0,1,肖战,13412451
1,2,时代少年团,7700752
2,3,王一博,6703794
3,4,李现,4629179
4,5,易烊千玺,4273053
5,6,王俊凯,3055868
6,7,蔡徐坤,2406427
