,rank,name,vote
0,1,肖战,33737040
1,2,时代少年团,31494012
2,3,王一博,29371253
3,4,李现,27338104
4,5,王俊凯,21859744
5,6,易烊千玺,19827126
6,7,华晨宇,17484461
