,rank,name,vote
0,1,肖战,21519568
1,2,时代少年团,18592396
2,3,王一博,16393500
3,4,李现,15272167
4,5,王俊凯,9342308
5,6,易烊千玺,9266954
6,7,华晨宇,6888661
