,rank,name,vote
0,1,肖战,9824014
1,2,时代少年团,3850104
2,3,王一博,3396895
3,4,李现,2065876
4,5,易烊千玺,2054028
5,6,蔡徐坤,1420805
6,7,王俊凯,1327138
