,rank,name,vote
0,1,肖战,41236384
1,2,时代少年团,38543297
2,3,王一博,35170677
3,4,李现,33895283
4,5,王俊凯,27537039
5,6,易烊千玺,24231083
6,7,华晨宇,21710069
