,rank,name,vote
0,1,肖战,16686559
1,2,时代少年团,12492273
2,3,王一博,10386705
3,4,李现,8537683
4,5,易烊千玺,5788927
5,6,王俊凯,5093729
6,7,华晨宇,3698507
